timestamp,temp_c,humidity_pct,toxic1,toxic2,toxic1_band,toxic2_band,overall_status
2025-01-01 00:00:00,30.2,56.7,2092,1886,SAFE,SAFE,SAFE
2025-01-01 00:01:00,29.2,61.7,2054,1769,SAFE,SAFE,SAFE
2025-01-01 00:02:00,30.7,59.8,2250,1975,SAFE,SAFE,SAFE
2025-01-01 00:03:00,30.8,58.7,2234,1700,SAFE,SAFE,SAFE
2025-01-01 00:04:00,28.5,59.3,1954,1630,SAFE,SAFE,SAFE
2025-01-01 00:05:00,29.1,61.9,2070,1606,SAFE,SAFE,SAFE
2025-01-01 00:06:00,30.3,61.2,2262,1909,SAFE,SAFE,SAFE
2025-01-01 00:07:00,29.9,59.4,2228,1749,SAFE,SAFE,SAFE
2025-01-01 00:08:00,30.2,57.4,4088,2847,HAZARD,HAZARD,HAZARD
2025-01-01 00:09:00,29.6,57.5,4182,2969,HAZARD,HAZARD,HAZARD
2025-01-01 00:10:00,31,61.1,3911,2872,HAZARD,HAZARD,HAZARD
2025-01-01 00:11:00,30.9,57,3987,2692,HAZARD,HAZARD,HAZARD
2025-01-01 00:12:00,30.4,59.2,4096,2989,HAZARD,HAZARD,HAZARD
2025-01-01 00:13:00,31.2,64.8,3932,2765,HAZARD,HAZARD,HAZARD
2025-01-01 00:14:00,30.7,60.3,4023,2778,HAZARD,HAZARD,HAZARD
2025-01-01 00:15:00,29.7,60.8,3825,2695,HAZARD,HAZARD,HAZARD
2025-01-01 00:16:00,30.7,57.2,3841,2639,HAZARD,HAZARD,HAZARD
2025-01-01 00:17:00,29.7,56.8,3703,2776,HAZARD,HAZARD,HAZARD
2025-01-01 00:18:00,31.2,60.8,3648,2581,HAZARD,HAZARD,HAZARD
2025-01-01 00:19:00,30.5,58.6,3816,2719,HAZARD,HAZARD,HAZARD
2025-01-01 00:20:00,30.4,61.5,3906,2892,HAZARD,HAZARD,HAZARD
2025-01-01 00:21:00,30,59.4,3818,2790,HAZARD,HAZARD,HAZARD
2025-01-01 00:22:00,31.6,66.2,3951,2719,HAZARD,HAZARD,HAZARD
2025-01-01 00:23:00,30.5,58.1,3744,2566,HAZARD,HAZARD,HAZARD
2025-01-01 00:24:00,30.3,59.7,3518,2670,HAZARD,HAZARD,HAZARD
2025-01-01 00:25:00,30.4,57.3,3794,2580,HAZARD,HAZARD,HAZARD
2025-01-01 00:26:00,31.1,61.1,3605,2817,HAZARD,HAZARD,HAZARD
2025-01-01 00:27:00,31,59.9,3731,2597,HAZARD,HAZARD,HAZARD
2025-01-01 00:28:00,31.1,57.1,3424,2554,HAZARD,HAZARD,HAZARD
2025-01-01 00:29:00,31.1,58.3,3647,2607,HAZARD,HAZARD,HAZARD
2025-01-01 00:30:00,32.5,61.6,3747,2537,HAZARD,HAZARD,HAZARD
2025-01-01 00:31:00,30.5,61.4,3716,2640,HAZARD,HAZARD,HAZARD
2025-01-01 00:32:00,30.4,56,3599,2806,HAZARD,HAZARD,HAZARD
2025-01-01 00:33:00,30.2,57.8,3607,2599,HAZARD,HAZARD,HAZARD
2025-01-01 00:34:00,31.4,62.4,3538,2489,HAZARD,SAFE,HAZARD
2025-01-01 00:35:00,31.8,58.3,3546,2565,HAZARD,HAZARD,HAZARD
2025-01-01 00:36:00,30.8,59,3641,2435,HAZARD,SAFE,HAZARD
2025-01-01 00:37:00,30.3,60.6,3461,2884,HAZARD,HAZARD,HAZARD
2025-01-01 00:38:00,30.3,55.9,3458,2759,HAZARD,HAZARD,HAZARD
2025-01-01 00:39:00,31.5,56.6,3332,2691,HAZARD,HAZARD,HAZARD
2025-01-01 00:40:00,31.6,57.8,3585,2629,HAZARD,HAZARD,HAZARD
2025-01-01 00:41:00,31.5,60.8,3456,2522,HAZARD,HAZARD,HAZARD
2025-01-01 00:42:00,30.6,60.4,3329,2518,HAZARD,HAZARD,HAZARD
2025-01-01 00:43:00,31.3,59.8,3566,2503,HAZARD,HAZARD,HAZARD
2025-01-01 00:44:00,31.2,58,3442,2782,HAZARD,HAZARD,HAZARD
2025-01-01 00:45:00,31.3,60.5,3345,2493,HAZARD,SAFE,HAZARD
2025-01-01 00:46:00,31.9,57.9,3529,2447,HAZARD,SAFE,HAZARD
2025-01-01 00:47:00,31.4,59.3,3369,2491,HAZARD,SAFE,HAZARD
2025-01-01 00:48:00,31.8,59.9,3209,2554,HAZARD,HAZARD,HAZARD
2025-01-01 00:49:00,31.3,61.5,3501,2108,HAZARD,SAFE,HAZARD
2025-01-01 00:50:00,31.5,57.9,3273,2529,HAZARD,HAZARD,HAZARD
2025-01-01 00:51:00,31.8,57.3,3725,2201,HAZARD,SAFE,HAZARD
2025-01-01 00:52:00,30.2,60.5,3298,2637,HAZARD,HAZARD,HAZARD
2025-01-01 00:53:00,31.1,60.7,3098,2281,HAZARD,SAFE,HAZARD
2025-01-01 00:54:00,31,56.8,3540,2377,HAZARD,SAFE,HAZARD
2025-01-01 00:55:00,30.9,55.6,3312,2250,HAZARD,SAFE,HAZARD
2025-01-01 00:56:00,31.2,60.2,3339,2654,HAZARD,HAZARD,HAZARD
2025-01-01 00:57:00,32.7,54.5,3344,2450,HAZARD,SAFE,HAZARD
